Adipocyte||
Doublet like cell|Fibroblast/Granulosa doublet like cell|
Embryonic cell|Mesodermal cell|
Embryonic cell|Mesodermal cell|ZEB2+ mesoderm
Embryonic cell|Trophoblast|Cytotrophoblast
Embryonic cell|Trophoblast|Extravillous trophoblast
Embryonic cell|Trophoblast|INF-activated trophoblast
Embryonic cell|Trophoblast|Syncytiotrophoblast
Endothelial cell|Arterial EC|
Endothelial cell|Arterial EC|ACTA2+ arterial EC
Endothelial cell|Arterial EC|Fetal MHC- arterial EC
Endothelial cell|Arterial EC|SRGN+ arterial EC
Endothelial cell|Capillary EC|
Endothelial cell|Capillary EC|ACTA2+ capillary EC
Endothelial cell|Capillary EC|Fetal MHC- capillary EC
Endothelial cell|Cycling EC|
Endothelial cell|Endocardial cell|
Endothelial cell|Endothelial‑mesenchymal transition EC|
Endothelial cell|Lymphatic EC|
Endothelial cell|Tip EC|
Endothelial cell|Venous EC|
Endothelial cell|Venous EC|Fetal MHC- venous EC
Endothelial cell||
Epithelial cell|Endocrine cell|
Epithelial cell|Epithelial cell of adrenal gland|Capsular cell
Epithelial cell|Epithelial cell of adrenal gland|Chromaffin cell
Epithelial cell|Epithelial cell of adrenal gland|Steroidogenic cell
Epithelial cell|Epithelial cell of adrenal gland|Sympathoadrenal cell
Epithelial cell|Epithelial cell of adrenal gland|Sympathoblast
Epithelial cell|Epithelial cell of bladder|Basal cell of bladder
Epithelial cell|Epithelial cell of breast|Lactocyte
Epithelial cell|Epithelial cell of breast|Mammary basal cell
Epithelial cell|Epithelial cell of breast|Mammary luminal cell
Epithelial cell|Epithelial cell of breast|Mammary luminal progenitor
Epithelial cell|Epithelial cell of eye|Ciliary body cell
Epithelial cell|Epithelial cell of eye|Corneal epithelial cell
Epithelial cell|Epithelial cell of eye|Epithelial cell of conjunctiva
Epithelial cell|Epithelial cell of eye|Eye melanocyte
Epithelial cell|Epithelial cell of eye|Retinal pigment epithelial cell
Epithelial cell|Epithelial cell of gingiva|Melanocyte
Epithelial cell|Epithelial cell of intestine|Colonocyte
Epithelial cell|Epithelial cell of intestine|Enterocyte
